Nmsg,Time,Ax,Ay,Az,Gx,Gy,Gz,Gfx,Gfy,Gfz,Roll,Pitch,Heading,Alt,Latitude,Longitude,Arsp,Presion,SBUS_Flags,Flight_Mode,Interruptor_1,Interruptor_2,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16,OUT_1,OUT_2,OUT_3,OUT_4,OUT_5,OUT_6,OUT_7,OUT_8,OUT_9,OUT_10
18339,183177,0.036718816,0.38002217,9.732497,0.006933876,-0.0022462164,0.003429339,0.0,0.0,0.0,2.3339648,-0.15921395,-55.25545,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18340,183187,0.009594947,0.3877674,9.7918005,0.0064704977,-0.006398233,0.0037931981,0.0,0.0,0.0,2.3313396,-0.16433264,-55.254745,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18341,183197,0.009594947,0.3877674,9.7918005,0.0064704977,-0.006398233,0.0037931981,0.0,0.0,0.0,2.3313396,-0.16433264,-55.254745,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18342,183207,0.025450855,0.37041163,9.7215185,0.0056704264,-0.004147354,0.00489079,0.0,0.0,0.0,2.333791,-0.1586069,-55.2568,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18343,183217,0.025450855,0.37041163,9.7215185,0.0056704264,-0.004147354,0.00489079,0.0,0.0,0.0,2.333791,-0.1586069,-55.2568,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18344,183227,0.03532502,0.40809178,9.7996435,0.006766009,-0.0042184736,0.0033601634,0.0,0.0,0.0,2.332361,-0.1637363,-55.255653,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18345,183237,0.03532502,0.40809178,9.7996435,0.006766009,-0.0042184736,0.0033601634,0.0,0.0,0.0,2.332361,-0.1637363,-55.255653,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18346,183247,0.03532502,0.40809178,9.7996435,0.006766009,-0.0042184736,0.0033601634,0.0,0.0,0.0,2.332361,-0.1637363,-55.255653,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18347,183257,0.015062511,0.38510838,9.720005,0.0055228337,-0.005119811,0.0037995025,0.0,0.0,0.0,2.3336284,-0.15893753,-55.256104,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18348,183267,0.015062511,0.38510838,9.720005,0.0055228337,-0.005119811,0.0037995025,0.0,0.0,0.0,2.3336284,-0.15893753,-55.256104,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
